Script ID,Sentence,VT,Ambig ,Comp Q,Resp,,,,,
E1I1,The popular cheerleader heard the story had gone all over school.,DO,Ambiguous,Was the story contained?,N,,,,,
E1I2,The school staff printed the article was stolen from the office.,DO,Ambiguous,Was the article taken from the office?,Y,,,,,
E1I3,The absent-minded grandmother forgot the key was still in her pocket.,DO,Ambiguous,Was the key in a drawer?,N,,,,,
E1I4,The ignorant citizen advocated the strategy would promote nuclear power.,DO,Ambiguous,Did the citizen believe the strategy supported nuclear power?,Y,,,,,
E1I5,The adventurous sailor discovered the wreck contained several rare medicinal plants.,DO,Ambiguous,Were rare plants housed in the wreck?,Y,,,,,
E1I6,The aging hippie protested the policy was started for selfish reasons.,DO,Ambiguous,Was the policy started for compassionate reasons?,N,,,,,
E1I7,The enthusiastic manager accepted the money was intended for her client.,DO,Ambiguous,Was the money for the manager?,N,,,,,
E1I8,The tour guide warned the spectators were scared by ghost sightings.,DO,Ambiguous,Were the observers frightened?,Y,,,,,
E2I1,The struggling pupil understood that the message was important for his grade.,DO,Unambiguous,Was the message important for the student’s success?,Y,,,,,
E2I2,The job applicant emphasized that the problems couldn't be resolved by Friday.,DO,Unambiguous,Could the issue be resolved by the end of the work week?,N,,,,,
E2I3,The bestselling author wrote that the essay was based on autobiographical events.,DO,Unambiguous,Was the essay based on the author’s life?,Y,,,,,
E2I4,The curious toddler learned that the equations gave her brother a headache.,DO,Unambiguous,Did the equations frustrate her brother?,Y,,,,,
E2I5,The abashed publicist confirmed that the rumor was started by his daughter.,DO,Unambiguous,Did the publicist’s daughter generate the rumor?,Y,,,,,
E2I6,The vehement columnist asserted that the belief was drastically misleading the masses.,DO,Unambiguous,Did the columnist think the opinion was correct?,N,,,,,
E2I7,The apprentice mechanic maintained that the machinery was broken beyond repair.,DO,Unambiguous,Could the machine be fixed?,N,,,,,
E2I8,The befuddled foreigner repeated that the poem did not make logical sense.,DO,Unambiguous,Did the foreigner understand the poem?,N,,,,,
E3I1,The nervous candidate believed the interviewer had asked him interesting questions.,SC,Ambiguous,Did the candidate like the interviewer’s questions?,Y,,,,,
E3I2,The brilliant researcher figured the sum was impossible given the equation.,SC,Ambiguous,Did the equation make the process easier? ,N,,,,,
E3I3,The rookie athlete realized the mistake ruined her chances of winning.,SC,Ambiguous,Would the athlete lose because of the mistake?,Y,,,,,
E3I4,The undergraduate student concluded the lesson would not actually be useful.,SC,Ambiguous,Was there a valuable lesson taught?,N,,,,,
E3I5,The defense attorney inferred the reason would be argued strongly.,SC,Ambiguous,Would the reason be argued well?,Y,,,,,
E3I6,The freshman senator indicated the problem could be fixed through perseverance.,SC,Ambiguous,Was the problem permanent?,N,,,,,
E3I7,The auto mechanic admitted the error was on purpose for money.,SC,Ambiguous,Was the error deceiving?,Y,,,,,
E3I8,The appreciative employee implied the raise would help pay his debts.,SC,Ambiguous,Did the raise disappoint the employee? ,N,,,,,
E4I1,The respected actress suggested that the scene had been written very poorly.,SC,Unambiguous,Was the actress satisfied?,N,,,,,
E4I2,The train conductor worried that the passengers wouldn’t enjoy the long trip.,SC,Unambiguous,Was the trip going to be long?,Y,,,,,
E4I3,The angry protestor proved that the theory would not be universally accepted.,SC,Unambiguous,Was the theory popular?,N,,,,,
E4I4,The naïve politician assumed that the burden had was not his to carry.,SC,Unambiguous,Was the politician responsible for the problem?,N,,,,,
E4I5,The young teacher argued that the issue must be discussed in class.,SC,Unambiguous,Was there a topic discussed?,Y,,,,,
E4I6,The music reviewer decided that the appeal would not attract the band.,SC,Unambiguous,Was the band turned off by the appeal?,Y,,,,,
E4I7,The strict manager suspected that the workers deserved more discipline than required.,SC,Unambiguous,Were the workers unreliable?,Y,,,,,
E4I8,The ruthless outlaw claimed that the reward would not be convincing enough.,SC,Unambiguous,Would the outlaw be turned in because of the reward?,N,,,,,
E9I1,The hostess who surprised the father opened a bottle of fresh champagne.,SubEx,,Did the hostess open a beer?,N,,,,,
E9I2,The bishop who amazed the deacon drank the wine in the sanctuary.,SubEx,,Did the bishop drink water?,N,,,,,
E9I3,The celebrity who shocked the cameraman spent the day at the zoo.,SubEx,,Did the celebrity go to the aquarium?,N,,,,,
E9I4,The grandmother who fed the child took a nap in the afternoon.,SubEx,,Did the grandmother watch tv?,N,,,,,
E9I5,The officer who arrested the inspector released a statement to the press.,SubEx,,Did the officer avoid the press?,N,,,,,
E9I6,The therapist who trained the masseuse heated bath water for a client.,SubEx,,Did the therapist give cold baths?,N,,,,,
E9I7,The doctor who examined the resident stitched a wound with great ease.,SubEx,,Did the wound give the doctor difficulty?,N,,,,,
E9I8,The architect who fired the engineer built town houses for rich heiresses.,SubEx,,Did the architect build country homes?,N,,,,,
E9I9,The neighbor who imitated the housewife earned prize money for her pies.,SubEx,,Did the neighbor bake pies?,Y,,,,,
E9I10,The student who frightened the classmate received a detention when classes ended.,SubEx,,Did the student have to stay after school?,Y,,,,,
E9I11,The horticulturist who irritated the landscaper used his intuition to grow flowers.,SubEx,,Did the horticulturist use his instincts?,Y,,,,,
E9I12,The man who kicked the criminal participated in therapy for anger management.,SubEx,,Did the man have trouble with anger?,Y,,,,,
E9I13,The prostitute who outsmarted the pimp counted her money in the alley.,SubEx,,Did the prostitute go through her cash?,Y,,,,,
E9I14,The governor who blackmailed the mobster turned up dead in his office.,SubEx,,Did the governor die?,Y,,,,,
E9I15,The chef who extolled the talk show host brought good business the whole year.,SubEx,,Did the chef attract business?,Y,,,,,
E9I16,The servant who seduced the maid went to college on a scholarship.,SubEx,,Did the servant attend college?,Y,,,,,
E10I1,The mole who the defector exposed rejected the offer on the spot.,ObEx,,Did the mole accept the offer?,N,,,,,
E10I2,The singer who the organizer blamed cancelled the concert in Los Angeles.,ObEx,,Did the singer perform in LA?,N,,,,,
E10I3,The acrobat who the clown mocked performed the trick at the show.,ObEx,,Did the acrobat skip the show?,N,,,,,
E10I4,The customer who the seller upset forgot the receipt on the counter.,ObEx,,Did the customer remember the receipt?,N,,,,,
E10I5,The partner who the businessman introduced presented the report at the meeting.,ObEx,,Did the partner miss the meeting?,N,,,,,
E10I6,The messenger who the knight summoned read the letter from the king.,ObEx,,Did the messenger read a book?,N,,,,,
E10I7,The linguist who the historian ridiculed proposed the hypothesis for the problem.,ObEx,,Did the linguist disagree with the hypothesis?,N,,,,,
E10I8,The biker who the driver ignored made the turn at the crossing.,ObEx,,Did the biker go straight?,N,,,,,
E10I9,The lover who the painter regretted sent a rose in the evening.,ObEx,,Did the lover give a flower?,Y,,,,,
E10I10,The musician who the producer sensed played the piano in the studio.,ObEx,,Did the musician play in the studio?,Y,,,,,
E10I11,The principal who the scholar judged patrolled the hall during school hours.,ObEx,,Did the principal walk the hallways?,Y,,,,,
E10I12,The teammate who the athlete revived won the game on the field.  ,ObEx,,Did the teammate win the game?,Y,,,,,
E10I13,The wizard who the medicine man healed stopped the boat at the bridge.,ObEx,,Did the wizard halt the boat?,Y,,,,,
E10I14,The lord who the lady embraced ate the muffin in the kitchen.,ObEx,,Did the lord eat in the kitchen?,Y,,,,,
E10I15,The guard who the agent watched took a break at the shop.,ObEx,,Did the guard take a break?,Y,,,,,
E10I16,The sister who the brother supervised got some crayons from the box.,ObEx,,Did the sister get crayons?,Y,,,,,
F11I1,The clerk at the records office clarified the confusing statement on the application.,Filler,Filler,Was the statement very straightforward?,N,,,,,
F11I2,The handsome prince offered but his bride's family declined the fortune.,Filler,Filler,Would the prince remain a bachelor?,N,,,,,
F11I3,The two friends wagered their allowance on who would get the highest test score.,Filler,Filler,Did the friends bet on a baseball game?,N,,,,,
F11I4,The mysterious woman divulged her deepest and darkest secrets to the bus driver.,Filler,Filler,Was the woman very shy?,N,,,,,
F11I5,The radio newscaster verified the short and exciting report before the broadcast.,Filler,Filler,Was the report true?,Y,,,,,
F11I6,The bargain shopper saw the beautiful and expensive raincoat after the sale was over.,Filler,Filler,Was the shopper careless with cash?,N,,,,,
F11I7,The exuberant team planned a huge and extravagant party for after the game.,Filler,Filler,Did the team feel good about things?,Y,,,,,
F11I8,The science teacher verified the unexpected results because she found them implausible.,Filler,Filler,Did the results seem strange?,Y,,,,,
F11I9,The temporary assistant saw the short and inappropriate memo while rummaging through the files.,Filler,Filler,Did the assistant notice the memo?,Y,,,,,
F11I10,The injured man imagined the attack while in the emergency room.,Filler,Filler,Had the man been assaulted?,Y,,,,,
F11I11,The worried mother determined the explanation for why her son had been avoiding her.,Filler,Filler,Was the mother concerned about her son?,Y,,,,,
F11I12,The flight attendant clarified the instructions when the passengers asked questions.,Filler,Filler,Was the flight attendant helpful?,Y,,,,,
F11I13,The church workers offered the kids a free bible and some coloring books.,Filler,Filler,Did the workers offer them food?,N,,,,,
F11I14,The curious girl comprehended the answer but asked the question again.,Filler,Filler,Did the girl understand the first time?,Y,,,,,
F11I15,The office staff raced but there was no clear winner.,Filler,Filler,Did someone come in first place?,N,,,,,
F11I16,The teacher's assistant divulged the purpose of her colleague's absence.,Filler,Filler,Did the assistant know the purpose?,Y,,,,,
F11I17,Many of the cheerleaders recalled the difficult and strenuous routine from last year's homecoming game.,Filler,Filler,Did the cheerleaders forget the routine?,N,,,,,
F11I18,The attorneys for the family disputed the authorities' version of what transpired.,Filler,Filler,Were the events completely agreed upon?,N,,,,,
F11I19,The wealthy investor regretted the bad and unfortunate decision once he realized the consequences.,Filler,Filler,Was the investor rich?,Y,,,,,
F11I20,The models in the fashion show revealed their stylish tank tops.,Filler,Filler,Were the models wearing sweaters?,N,,,,,
F11I21,The I.R.S. agent demanded the full amount the week following the audit.,Filler,Filler,Did the audit go well?,N,,,,,
F11I22,The poodle recognized his owner's scent on the clothing that was discovered.,Filler,Filler,Did the dog have a keen sense of smell?,Y,,,,,
F11I23,The waitress promised her regulars a free cup of coffee.,Filler,Filler,Would the regulars have eggs?,N,,,,,
F11I24,The foreign students sat down but couldn't understand the lecture.,Filler,Filler,Were the students a bit confused?,Y,,,,,
F11I25,The angry mob announced their demands but still refused to negotiate.,Filler,Filler,Did the mob want to compromise?,N,,,,,
F11I26,The nervous teenager lied to the judge to avoid incriminating his friend.,Filler,Filler,Did the witness commit perjury?,Y,,,,,
F11I27,The bored librarian painted her fingernails after shelving several books.,Filler,Filler,Was the librarian very busy?,N,,,,,
F11I28,The interior decorator hammered away and hung the painting on the wall.,Filler,Filler,Did the decorator hang a poster?,N,,,,,
F11I29,The new salesman insulted the stranger and she left the store.,Filler,Filler,Was the stranger satisfied?,N,,,,,
F11I30,The soccer player kicked the ball through the goalie's hands.,Filler,Filler,Did the soccer player score?,Y,,,,,
F11I31,The thoughtful daughter cared for her elderly mother.,Filler,Filler,Was the mother taken care of?,Y,,,,,
F11I32,The new homeowner slept in the room next to the garden.,Filler,Filler,Did the homeowner sleep near plants and shrubs?,Y,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
