Script ID,Sentence,VT,Ambig ,Comp Q,Resp,,,,,
E1I1,The gossipy neighbor heard the story had never actually been true.,DO,Ambiguous,Did the story turn out to be false?,Y,,,,,
E1I2,The journal editor printed the article had been slanderous to him.,DO,Ambiguous,Did the editor approve of the article?,N,,,,,
E1I3,The new house-sitter forgot the key would be under the doormat.,DO,Ambiguous,Was this a regular house-sitter?,N,,,,,
E1I4,The newspaper editor advocated the truth needed to be made public.,DO,Ambiguous,Did the editor want to reveal the truth?,Y,,,,,
E1I5,The scuba diver discovered the wreck was caused by a collision.,DO,Ambiguous,Did an accident cause the wreck?,Y,,,,,
E1I6,The surgical nurses protested the policies were not fair to the patients.,DO,Ambiguous,Were the nurses concerned about the patients?,Y,,,,,
E1I7,The talented photographer accepted the money could not be spent yet.,DO,Ambiguous,Could the money be spent right away?,N,,,,,
E1I8,The trained referees warned the spectators would probably get too rowdy.,DO,Ambiguous,Did people expect the fans to be calm?,N,,,,,
E2I1,The frustrated tourists understood that the message would mean they couldn't go.,DO,Unambiguous,Were the tourists happy about the message?,N,,,,,
E2I2,The angry father emphasized that the problems were continuing to get worse.,DO,Unambiguous,Were the problems still bad?,Y,,,,,
E2I3,The art critic wrote that the interview had not been well received.,DO,Unambiguous,Did the interview go over poorly?,Y,,,,,
E2I4,The chemistry student learned that the equations could have made measurement more precise.,DO,Unambiguous,Was the student in sociology?,N,,,,,
E2I5,The CIA director confirmed that the rumor should have been stopped sooner.,DO,Unambiguous,Should the rumor have been better controlled?,Y,,,,,
E2I6,The concerned priest asserted that the belief would be hard to explain.,DO,Unambiguous,Would the belief be easily explained?,N,,,,,
E2I7,The confident engineer maintained that the machinery would be hard to destroy.,DO,Unambiguous,Was the machinery easily ruined?,N,,,,,
E2I8,The French teacher repeated that the poem should be finished by Friday.,DO,Unambiguous,Did the teacher instruct French?,Y,,,,,
E3I1,The job applicant believed the interviewer had been dishonest with her.,SC,Ambiguous,Did the applicant trust the interviewer?,N,,,,,
E3I2,The math whiz figured the sum could be calculated very quickly.,SC,Ambiguous,Was the problem going to take long?,N,,,,,
E3I3,The novice plumber realized the mistake would cost him a lot.,SC,Ambiguous,Would someone pay for the mistake?,Y,,,,,
E3I4,The reading tutor concluded the lesson could be finished very quickly.,SC,Ambiguous,Would the lesson be brief?,Y,,,,,
E3I5,The rejected bachelor inferred the reason had never been openly stated.,SC,Ambiguous,Was the reason openly revealed?,N,,,,,
E3I6,The supply manager indicated the problem would affect the whole office.,SC,Ambiguous,Would the problem bother everyone?,Y,,,,,
E3I7,The ticket agent admitted the error had been careless and stupid.,SC,Ambiguous,Did someone make a stupid mistake?,Y,,,,,
E3I8,The union leader implied the raise would keep them from striking.,SC,Ambiguous,Would the raise cause a strike?,N,,,,,
E4I1,The film director suggested that the scene should be filmed at night.,SC,Unambiguous,Should the scene be shot at noon?,N,,,,,
E4I2,The bus driver worried that the passengers were starting to get annoyed.,SC,Unambiguous,Were the passengers comfortable?,N,,,,,
E4I3,The careful scientist proved that the theory had not been properly tested.,SC,Unambiguous,Did the scientist doubt the theory?,Y,,,,,
E4I4,The class president assumed that the burden would be shared by everyone.,SC,Unambiguous,Was the burden to be shared?,Y,,,,,
E4I5,The divorce lawyer argued that the issue was irrelevant to the case.,SC,Unambiguous,Did the lawyer specialize in divorce?,Y,,,,,
E4I6,The experienced judge decided that the appeal should be started right away.,SC,Unambiguous,Should the appeal be delayed?,N,,,,,
E4I7,The factory owner suspected that the workers would probably go on strike.,SC,Unambiguous,Was there a chance of a strike?,Y,,,,,
E4I8,The anonymous informant claimed that the reward did not influence his decision.,SC,Unambiguous,Did the informant give his name?,N,,,,,
E9I1,The contestant who offended the host ruined the show for the audience.,SubEx,,Was the show a total success?,N,,,,,
E9I2,The mathematician who addressed the physicist offered the proof at the conference.,SubEx,,Were the scientists working in someone's office?,N,,,,,
E9I3,The diplomat who insulted the congressman ended the negotiations on the spot.,SubEx,,Did the negotiations go well?,N,,,,,
E9I4,The priest who thanked the nun founded the shelter near the church.,SubEx,,Were the priest and nun involved in charity?,Y,,,,,
E9I5,The analyst who queried the governor proposed some changes to the plan.,SubEx,,Was the analyst questioned?,N,,,,,
E9I6,The farmer who questioned the expert promoted the product at the fair.,SubEx,,Would the product be promoted on TV?,N,,,,,
E9I7,The official who harassed the manager questioned the policy of lowering wages.,SubEx,,Was the policy being challenged?,Y,,,,,
E9I8,The clerk who disliked the director typed the letter to the administration.,SubEx,,Would the administration be receiving a letter?,Y,,,,,
E9I9,The guitarist who recommended the band recorded the song for the album.,SubEx,,Did the guitarist recommend the band?,Y,,,,,
E9I10,The salesman who resented the cashier mislabeled the products in the brochure.,SubEx,,Was there an error in the brochure?,Y,,,,,
E9I11,The waiter who invited the cook tasted the sauce for the meat.,SubEx,,Did someone sample the meat?,N,,,,,
E9I12,The medic who assisted the doctor borrowed the instrument for the surgery.,SubEx,,Were the medical professionals preparing for an operation?,Y,,,,,
E9I13,The passenger who befriended the stewardess remembered the flight across the Atlantic.,SubEx,,Did they recall sailing across the ocean?,N,,,,,
E9I14,The cheerleader who bothered the quarterback attended the game at the college.,SubEx,,Did someone go to a professional game?,N,,,,,
E9I15,The animator who criticized the producer offered a solution to the problem.,SubEx,,Was an answer to the problem given?,Y,,,,,
E9I16,The dictator who despised the dissident gave a speech about the protests.,SubEx,,Were there problems in the government?,Y,,,,,
E10I1,The physician who the cardiologist consulted checked the files in his office.,ObEx,,Were the files checked in the office?,Y,,,,,
E10I2,The babysitter who the parents liked planned a trip to Puerto Rico.,ObEx,,Was someone getting ready for a vacation?,Y,,,,,
E10I3,The banker who the chairman informed invested a million in a start-up.,ObEx,,Did someone refuse to invest money?,N,,,,,
E10I4,The violinist who the cellist flattered played a piece from the symphony.,ObEx,,Was the violinist flattered?,Y,,,,,
E10I5,The burglar who the policeman wounded reloaded the revolver in a hurry.,ObEx,,Did a burglary take place?,Y,,,,,
E10I6,The carpenter who the electrician punched quit the job a week later.,ObEx,,Did the electrician and carpenter get along?,N,,,,,
E10I7,The accountant who the statistician advised calculated the costs of the project.,ObEx,,Were the professionals working together?,Y,,,,,
E10I8,The model who the artist approached signed the contract for a year.,ObEx,,Was a multi-year deal involved?,N,,,,,
E10I9,The student who the professor trusted answered the question about the experiment.,ObEx,,Was there a discussion about research?,Y,,,,,
E10I10,The mobster who the dealer attacked organized some crimes in New York.,ObEx,,Was the dealer attacked?,N,,,,,
E10I11,The investigator who the cop overheard closed the case without an arrest.,ObEx,,Did someone eventually get convicted?,N,,,,,
E10I12,The actor who the starlet respected forgot the lines during the scene.,ObEx,,Were they getting ready for a music concert?,N,,,,,
E10I13,The defendant who the lawyer misled blamed the system for the conviction.,ObEx,,Was the system ultimately blamed?,Y,,,,,
E10I14,The count who the princess adored brought a gift to the reception.,ObEx,,Did someone offer a present?,Y,,,,,
E10I15,The bachelor who the socialite pursued owned a company in the area.,ObEx,,Was a break-up about to happen?,N,,,,,
E10I16,The councilman who the secretary kissed covered the expenses for the party.,ObEx,,Was the governor going to pay for the party?,N,,,,,
F11I1,The clerk at the records office clarified the confusing statement on the application.,Filler,Filler,Was the statement very straightforward?,N,,,,,
F11I2,The handsome prince offered but his bride's family declined the fortune.,Filler,Filler,Would the prince remain a bachelor?,N,,,,,
F11I3,The two friends wagered their allowance on who would get the highest test score.,Filler,Filler,Did the friends bet on a baseball game?,N,,,,,
F11I4,The mysterious woman divulged her deepest and darkest secrets to the bus driver.,Filler,Filler,Was the woman very shy?,N,,,,,
F11I5,The radio newscaster verified the short and exciting report before the broadcast.,Filler,Filler,Was the report true?,Y,,,,,
F11I6,The bargain shopper saw the beautiful and expensive raincoat after the sale was over.,Filler,Filler,Was the shopper careless with cash?,N,,,,,
F11I7,The exuberant team planned a huge and extravagant party for after the game.,Filler,Filler,Did the team feel good about things?,Y,,,,,
F11I8,The science teacher verified the unexpected results because she found them implausible.,Filler,Filler,Did the results seem strange?,Y,,,,,
F11I9,The temporary assistant saw the short and inappropriate memo while rummaging through the files.,Filler,Filler,Did the assistant notice the memo?,Y,,,,,
F11I10,The injured man imagined the attack while in the emergency room.,Filler,Filler,Had the man been assaulted?,Y,,,,,
F11I11,The worried mother determined the explanation for why her son had been avoiding her.,Filler,Filler,Was the mother concerned about her son?,Y,,,,,
F11I12,The flight attendant clarified the instructions when the passengers asked questions.,Filler,Filler,Was the flight attendant helpful?,Y,,,,,
F11I13,The church workers offered the kids a free bible and some coloring books.,Filler,Filler,Did the workers offer them food?,N,,,,,
F11I14,The curious girl comprehended the answer but asked the question again.,Filler,Filler,Did the girl understand the first time?,Y,,,,,
F11I15,The office staff raced but there was no clear winner.,Filler,Filler,Did someone come in first place?,N,,,,,
F11I16,The teacher's assistant divulged the purpose of her colleague's absence.,Filler,Filler,Did the assistant know the purpose?,Y,,,,,
F11I17,Many of the cheerleaders recalled the difficult and strenuous routine from last year's homecoming game.,Filler,Filler,Did the cheerleaders forget the routine?,N,,,,,
F11I18,The attorneys for the family disputed the authorities' version of what transpired.,Filler,Filler,Were the events completely agreed upon?,N,,,,,
F11I19,The wealthy investor regretted the bad and unfortunate decision once he realized the consequences.,Filler,Filler,Was the investor rich?,Y,,,,,
F11I20,The models in the fashion show revealed their stylish tank tops.,Filler,Filler,Were the models wearing sweaters?,N,,,,,
F11I21,The I.R.S. agent demanded the full amount the week following the audit.,Filler,Filler,Did the audit go well?,N,,,,,
F11I22,The poodle recognized his owner's scent on the clothing that was discovered.,Filler,Filler,Did the dog have a keen sense of smell?,Y,,,,,
F11I23,The waitress promised her regulars a free cup of coffee.,Filler,Filler,Would the regulars have eggs?,N,,,,,
F11I24,The foreign students sat down but couldn't understand the lecture.,Filler,Filler,Were the students a bit confused?,Y,,,,,
F11I25,The angry mob announced their demands but still refused to negotiate.,Filler,Filler,Did the mob want to compromise?,N,,,,,
F11I26,The nervous teenager lied to the judge to avoid incriminating his friend.,Filler,Filler,Did the witness commit perjury?,Y,,,,,
F11I27,The bored librarian painted her fingernails after shelving several books.,Filler,Filler,Was the librarian very busy?,N,,,,,
F11I28,The interior decorator hammered away and hung the painting on the wall.,Filler,Filler,Did the decorator hang a poster?,N,,,,,
F11I29,The new salesman insulted the stranger and she left the store.,Filler,Filler,Was the stranger satisfied?,N,,,,,
F11I30,The soccer player kicked the ball through the goalie's hands.,Filler,Filler,Did the soccer player score?,Y,,,,,
F11I31,The thoughtful daughter cared for her elderly mother.,Filler,Filler,Was the mother taken care of?,Y,,,,,
F11I32,The new homeowner slept in the room next to the garden.,Filler,Filler,Did the homeowner sleep near plants and shrubs?,Y,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
