Script ID,Sentence,VT,Ambig ,Comp Q,Resp,,,,,
E1I1,The two hunters heard the birds had begun migrating in October.,DO,Ambiguous,Were the birds migrating?,Y,,,,,
E1I2,The local publisher printed the quote had not been accurately reported.,DO,Ambiguous,Could someone have been misquoted?,Y,,,,,
E1I3,The distracted businessman forgot the address was written in the e-mail.,DO,Ambiguous,Was the address written on paper?,N,,,,,
E1I4,The new mayor advocated the strategy could be implemented next year.,DO,Ambiguous,Does the mayor want to implement the strategy?,Y,,,,,
E1I5,The French explorers discovered the treasure had caused a vicious battle.,DO,Ambiguous,Had the treasure caused a conflict?,Y,,,,,
E1I6,The political group protested the treaty had been broken many times.,DO,Ambiguous,Had the treaty been followed?,N,,,,,
E1I7,The basketball star accepted the contract would have to be negotiated.,DO,Ambiguous,Should the star sign right away?,N,,,,,
E1I8,The angry residents warned the kids had disturbed every single weekend.,DO,Ambiguous,Were the residents pleased with the kids?,N,,,,,
E2I1,The wise consumer understood that the label was a very misleading one.,DO,Unambiguous,Was the consumer easily tricked?,N,,,,,
E2I2,The experienced boss emphasized that the objective should not be abandoned yet.,DO,Unambiguous,Should the goal be pursued further?,Y,,,,,
E2I3,The popular novelist wrote that the essay would change the voters' minds.,DO,Unambiguous,Would the essay influence anyone?,Y,,,,,
E2I4,The amateur musician learned that the song couldn't be recorded for hours,DO,Unambiguous,Could the song be recorded later?,Y,,,,,
E2I5,The coast guard confirmed that the drowning could not have been avoided.,DO,Unambiguous,Could the sailor have been saved?,N,,,,,
E2I6,The upset customer asserted that the complaint should be taken very seriously.,DO,Unambiguous,Was the customer happy with the service?,N,,,,,
E2I7,The devoted caretaker maintained that the garden was causing his chronic allergies.,DO,Unambiguous,Were cats the cause of his allergies?,N,,,,,
E2I8,The stuttering child repeated that the threat was highly unnecessary and hurtful.,DO,Unambiguous,Was the threat mean-spirited?,Y,,,,,
E3I1,The naive child believed the fable had been written for him.,SC,Ambiguous,Was the child somewhat gullible?,Y,,,,,
E3I2,The shrewd salesman figured the prices would be going up soon.,SC,Ambiguous,Were the prices going to rise?,Y,,,,,
E3I3,The observant sleuth realized the situation should be watched very closely.,SC,Ambiguous,Was the detective careful and aware?,Y,,,,,
E3I4,The account executive concluded the speech had not gone very well.,SC,Ambiguous,Did the speech please the executive?,N,,,,,
E3I5,The football fan inferred the score was due to several injuries.,SC,Ambiguous,Were the players unscathed?,N,,,,,
E3I6,The friendly clerk indicated the price would be halved next week.,SC,Ambiguous,Was the price steady?,N,,,,,
E3I7,The new receptionist admitted the mistake should have been corrected sooner.,SC,Ambiguous,Should the receptionist have waited?,N,,,,,
E3I8,The famous researcher implied the findings had been revealed too soon.,SC,Ambiguous,Were the findings revealed too early?,Y,,,,,
E4I1,The travel agent suggested that the vacation would just have to wait.,SC,Unambiguous,Was now a good time for a vacation?,N,,,,,
E4I2,The new babysitter worried that the parents would be several hours late.,SC,Unambiguous,Did the babysitter worry the parents?,N,,,,,
E4I3,The local detectives proved that the conspiracy had been carefully covered up.,SC,Unambiguous,Had the conspiracy been concealed?,Y,,,,,
E4I4,The cab driver assumed that the blame belonged to the other driver.,SC,Unambiguous,Did the cab driver claim responsibility?,N,,,,,
E4I5,The district attorney argued that the point would be impossible to avoid.,SC,Unambiguous,Would the point be easily forgotten?,N,,,,,
E4I6,The famous justice decided that the case should never have been tried.,SC,Unambiguous,Was the case tried?,Y,,,,,
E4I7,The injured woman suspected that the teenager had hit her from behind.,SC,Unambiguous,Did the woman suspect the teenager?,Y,,,,,
