Script ID,Sentence,VT,Ambig ,Comp Q,Resp
E1I1,The frustrated tourists understood the message would mean they couldn't go.,DO,Ambiguous,Were the tourists happy about the message?,N
E1I2,The angry father emphasized the problems were continuing to get worse.,DO,Ambiguous,Were the problems still bad?,Y
E1I3,The art critic wrote the interview had not been well received.,DO,Ambiguous,Did the interview go over poorly?,Y
E1I5,The chemistry student learned the equations could have made measurement more precise.,DO,Ambiguous,Was the student in sociology?,N,,,,,
E1I4,The CIA director confirmed the rumor should have been stopped sooner.,DO,Ambiguous,Should the rumor have been better controlled?,Y,,,,,
E1I6,The concerned priest asserted the belief would be hard to explain.,DO,Ambiguous,Would the belief be easily explained?,N,,,,,
E1I7,The confident engineer maintained the machinery would be hard to destroy.,DO,Ambiguous,Was the machinery easily ruined?,N,,,,,
E1I8,The French teacher repeated the poem should be finished by Friday.,DO,Ambiguous,Did the teacher instruct French?,Y,,,,,
E2I1,The gossipy neighbor heard that the story had never actually been true.,DO,Unambiguous,Did the story turn out to be false?,Y,,,,,
E2I3,The journal editor printed that the article had been slanderous to him.,DO,Unambiguous,Did the editor approve of the article?,N,,,,,
E2I5,The new house-sitter forgot that the key would be under the doormat.,DO,Unambiguous,Was this a regular house-sitter?,N,,,,,
E2I7,The newspaper editor advocated that the truth needed to be made public.,DO,Unambiguous,Did the editor want to reveal the truth?,Y,,,,,
E2I2,The scuba diver discovered that the wreck was caused by a collision.,DO,Unambiguous,Did an accident cause the wreck?,Y,,,,,
E2I4,The surgical nurses protested that the policies were not fair to the patients.,DO,Unambiguous,Were the nurses concerned about the patients?,Y,,,,,
E2I6,The talented photographer accepted that the money could not be spent yet.,DO,Unambiguous,Could the money be spent right away?,N,,,,,
E2I8,The trained referees warned that the spectators would probably get too rowdy.,DO,Unambiguous,Did people expect the fans to be calm?,N,,,,,
E3I1,The film director suggested the scene should be filmed at night.,SC,Ambiguous,Should the scene be shot at noon?,N,,,,,
E3I3,The bus driver worried the passengers were starting to get annoyed.,SC,Ambiguous,Were the passengers comfortable?,N,,,,,
E3I5,The careful scientist proved the theory had not been properly tested.,SC,Ambiguous,Did the scientist doubt the theory?,Y,,,,,
E3I2,The class president assumed the burden would be shared by everyone.,SC,Ambiguous,Was the burden to be shared?,Y,,,,,
